Designator,Mid X,Mid Y,Layer,Rotation
C1,20.212,72.2,top,180
C2,35.812,72.2,top,180
C3,42.6,63.9,top,0
C4,19.6,69.8,top,180
C5,35.2,69.8,top,180
C6,43.4,61.5,top,0
C7,19.6,58.2,top,0
C8,35.1,58.2,top,0
C9,43.4,54.3,top,180
C10,20.212,55.8,top,0
C11,35.712,55.8,top,0
C12,42.688,51.9,top,180
C13,57.6,15.888,top,270
C14,48.9,19.812,top,90
C15,51,20.6,top,90
C16,48.9,15.788,top,270
C17,51,15,top,270
C18,40.8,24.8,top,270
C19,54.3,33.4,top,270
C20,55,35.9,top,0
C21,36.7,23.2,top,270
C22,55,42.1,top,0
C23,67.1,55.9,top,90
C24,46.5,72.1,top,90
C25,76.2,15.888,top,270
C26,67.4,19.688,top,90
C27,69.6,20.5,top,90
C28,67.4,15.712,top,270
C29,69.6,15,top,270
C30,59.3,24.8,top,270
C31,72.8,33.4,top,270
C32,73.5,35.9,top,0
C33,77.6,33.4,top,90
C34,73.5,42.2,top,0
D1,15.9,90.4,top,90
D2,50.7,24.1,top,0
D3,50.7,25.9,top,0
D4,54.8,21.5,top,270
D5,40.4,41.212,top,90
D6,54.8,28.5,top,90
D7,69.2,24.1,top,0
D8,69.2,25.9,top,0
D9,73.4,21.4,top,270
D10,59.1,41.2,top,90
D11,73.4,28.4,top,90
F1,54.8,14.2,top,270
F2,73.4,14.2,top,270
Q1,58.8,53.4,top,270
Q2,11.8,91.8,top,90
R1,54.988,52.4,top,180
R2,54.988,50.7,top,180
R3,54.988,54.1,top,180
R4,12.012,87,top,0
R5,12.012,88.9,top,0
R6,54.988,49,top,180
R7,54.988,47.3,top,180
R9,54.988,45.6,top,180
R10,54.988,43.9,top,180
R11,37.812,36.7,top,0
R12,49.1,84.2125,top,90
R13,41.8,84.2,top,90
R14,44.2,12.4,top,270
R15,46,12.4,top,270
R16,44.4,24.8,top,270
R17,42.6,24.8,top,270
R18,47.4,25.9,top,0
R19,47.4,24.1,top,0
R20,42.2,41.2,top,90
R21,38.6,23.2,top,90
R22,34.2,19.7,top,270
R23,36.7,19.7,top,270
R24,70.3,45.6125,top,90
R25,72.8,45.6125,top,90
R26,75.3,45.6,top,90
R27,77.9,45.6,top,90
R28,61,63.3,top,90
R29,75.2,63.6,top,90
R30,62.6,63.3,top,90
R31,76.8,63.6,top,90
R32,62.7,12.4,top,270
R33,64.5,12.4,top,270
R34,62.9,24.8,top,270
R35,61.1,24.8,top,270
R36,65.9,25.9,top,0
R37,65.912,24.1,top,0
R38,60.7,41.212,top,90
R39,77.6,23.212,top,90
R40,79.5,19.7,top,270
R41,77.6,19.688,top,270
RV1,47.8,12.4,top,90
RV2,42.4,12.4,top,90
RV3,66.3,12.4,top,90
RV4,60.9,12.412,top,90
U1,17.9,64,top,180
U2,33.4,64,top,180
U3,43,57.9,top,0
U4,44.8,19.7,top,90
U5,46.7,33.9,top,180
U6,74.7,53.2,top,90
U7,60,73.8,top,90
U8,74.3,73.8,top,90
U9,63.3,19.7,top,90
U10,65.2,33.9,top,180
Y1,55.2,39,top,270
Y2,73.75,39.1,top,270
